,,iris,wine,breast cancer,glass,hepatitis
DGSFC,f1,0.939704552306301,0.8158884186974074,0.8647585930118852,0.5758855440910541,0.7322085134471951
DGSFC,ARI,0.8345340129274751,0.5532251494593687,0.6102600442799082,0.21465065810422068,0.3957620562574671
DGSFC,ACC,0.94,0.8202247191011236,0.8295254833040422,0.5126582278481012,0.7467532467532467
DGSFC,cover_rate,1.0,1.0,1.0,0.7383177570093458,1.0
HDBSCAN,f1,0.5715211254569855,0.5434526854219949,0.784797649054264,0.5082760671549348,0.7072745471316705
HDBSCAN,ARI,0.5759464456422765,0.3034199308515808,0.40407497063181386,0.2373409788652151,0.0506434504105634
HDBSCAN,ACC,0.6802721088435374,0.6352941176470588,0.816017316017316,0.5789473684210527,0.7655172413793103
HDBSCAN,cover_rate,0.98,0.9550561797752809,0.81195079086116,0.7102803738317758,0.9415584415584416
mean-shift,f1,0.7482758620689656,0.4613229028131217,0.8568562307848717,0.38115174182614997,0.6624564042303173
mean-shift,ARI,0.5613438588431808,0.16502741856584838,0.559463758403526,0.2954034980929884,0.08073261287731774
mean-shift,ACC,0.6551724137931034,0.35947712418300654,0.855787476280835,0.4731182795698925,0.624
mean-shift,cover_rate,0.7733333333333333,0.8595505617977528,0.9261862917398945,0.8691588785046729,0.8116883116883117
OPTICS,f1,0.448851683029453,0.5223026843421239,0.44132735657530897,0.40395536758890355,0.1040988939492518
OPTICS,ARI,0.11931559972981229,0.14462044846739355,0.10633080852308996,0.334449041783455,-0.017497022896366104
OPTICS,ACC,0.3064516129032258,0.4024390243902439,0.2897196261682243,0.46564885496183206,0.05660377358490566
OPTICS,cover_rate,0.41333333333333333,0.4606741573033708,0.3760984182776801,0.6121495327102804,0.6883116883116883
spectral,f1,0.8987751796740562,0.3558308830572479,0.48377472508701935,0.38551693656176045,0.6175844892541782
spectral,ARI,0.7436826319432357,0.007177089960604672,0.0,0.2016772979653841,0.019846159773606407
spectral,ACC,0.9,0.4157303370786517,0.6274165202108963,0.48598130841121495,0.577922077922078
spectral,cover_rate,1.0,1.0,1.0,1.0,1.0
k-means,f1,0.8917748917748918,0.7147804707482469,0.8443374522699525,0.5073400968173721,0.7049617049617048
k-means,ARI,0.7302382722834697,0.37111371823084754,0.49142453622455523,0.2716247039226375,0.019064004781996848
k-means,ACC,0.8933333333333333,0.702247191011236,0.8541300527240774,0.5420560747663551,0.7402597402597403
k-means,cover_rate,1.0,1.0,1.0,1.0,1.0
